method,trajectory,optimizer_update,training_step,trajectory_microsteps,chunk_size_tokens,response_tokens,distillation_loss,teacher_student_reverse_kl,student_token_nll,episode_seconds,projection_alpha,projected_target_kl,kl_budget,query_id
TRSD 64,20,20,1226,48,128,6141,0.00473612197311013,0.004736121837944496,0.1561867829313342,196.33356068795547,0.65625,0.00398198578508528,0.004,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc
TRSD 64,21,21,1253,27,128,3386,0.004438432529241254,0.004438432368102752,0.14440378661135986,109.32005305099301,0.53125,0.00392463206375712,0.004,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd
TRSD 64,22,22,1298,45,128,5720,0.004637972439695659,0.004637972263853762,0.11236087058807587,183.81615384598263,0.671875,0.003919527602342928,0.004,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3
TRSD 64,23,23,1332,34,128,4334,0.00392361497733873,0.0039236151003444256,0.10393128045209278,139.90985206095502,0.515625,0.003801625829669645,0.004,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4
TRSD 64,24,24,1364,32,128,4094,0.004693949477314163,0.004693949469977114,0.09387601732217689,132.94446758599952,0.734375,0.003931900211548479,0.004,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9
TRSD 64,25,25,1440,76,128,9694,0.0041419972350212695,0.00414199721712032,0.1127238217545264,301.9826955659082,0.59375,0.003808351907971242,0.004,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a
TRSD 64,26,26,1520,80,128,10120,0.004457001796901672,0.004457001872464813,0.1343809142885472,331.3832489689812,0.484375,0.003994443287292921,0.004,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac
TRSD 64,27,27,1600,80,128,10124,0.0043420621883569765,0.004342062322990266,0.10183845476311028,360.8255935019115,0.6875,0.0038408770443778156,0.004,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe
TRSD 64,28,28,1679,79,128,10112,0.004427433698083405,0.004427433576835673,0.09794025179706042,360.79758836200926,0.828125,0.00396685804404529,0.004,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d
TRSD 64,29,29,1727,48,128,6080,0.004542667002169765,0.004542666803555269,0.1338093218050505,221.10123211692553,0.484375,0.003913281648419797,0.004,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f
