query_id,source,method,anchor_positions,normalized_jsd,base_entropy_nats,method_entropy_nats,entropy_retention
amc23:81371eaa87d2e9f9e9f02f961589b0db553f40722a9016043ea2c83d74a6afbd,amc23,TRSD 64,16,0.03476849943399429,0.15964964032173157,0.07176035642623901,0.44948649406433105
amc23:6529281306a5556f2db9b18525e46452f6f434440ea85593b77c4178f76b4486,amc23,Privilege-SD 64,16,0.02792973816394806,0.3907683491706848,0.2893485426902771,0.7404605150222778
amc23:6529281306a5556f2db9b18525e46452f6f434440ea85593b77c4178f76b4486,amc23,TRSD 64,16,0.043758492916822433,0.3907683491706848,0.20245712995529175,0.5181001424789429
amc23:34b7e15dd5e80ce908acd5ffc9ef6872ad9a431acd41064f96910a3a21cda033,amc23,Privilege-SD 64,16,0.04178072512149811,0.2820899188518524,0.166637122631073,0.5907233953475952
amc23:34b7e15dd5e80ce908acd5ffc9ef6872ad9a431acd41064f96910a3a21cda033,amc23,TRSD 64,16,0.05301930755376816,0.2820899188518524,0.10004203021526337,0.35464587807655334
amc23:fc61934c458afc9cb297c62cbad9d3e1f14c4030c57317b38974c14c851701a6,amc23,Privilege-SD 64,16,0.08869166672229767,0.5011682510375977,0.5586646795272827,1.1147247552871704
amc23:fc61934c458afc9cb297c62cbad9d3e1f14c4030c57317b38974c14c851701a6,amc23,TRSD 64,16,0.1019715666770935,0.5011682510375977,0.44513562321662903,0.8881959915161133
aime24:4ac3065bc26a845b46441d6ac16384a62e01f9a7c595720272bbc0b316201e6d,aime24,Privilege-SD 64,16,0.05400330573320389,0.2411929965019226,0.1868060678243637,0.7745086550712585
aime24:4ac3065bc26a845b46441d6ac16384a62e01f9a7c595720272bbc0b316201e6d,aime24,TRSD 64,16,0.06267642974853516,0.2411929965019226,0.12653648853302002,0.5246275663375854
amc23:41eb3f5f38c5931eaf64054a5654ff42abafa6d50eb6dccf93159cabdf2435fe,amc23,Privilege-SD 64,16,0.014888308942317963,0.13922321796417236,0.10786428302526474,0.7747578620910645
amc23:41eb3f5f38c5931eaf64054a5654ff42abafa6d50eb6dccf93159cabdf2435fe,amc23,TRSD 64,16,0.01473034918308258,0.13922321796417236,0.09645205736160278,0.6927871704101562
amc23:887a1c3ca2685a71c47a6c01ba448769d51c198ea517b8f55d3e741876b4088d,amc23,Privilege-SD 64,16,0.043026067316532135,0.1804928183555603,0.16492639482021332,0.9137560129165649
amc23:887a1c3ca2685a71c47a6c01ba448769d51c198ea517b8f55d3e741876b4088d,amc23,TRSD 64,16,0.05252404883503914,0.1804928183555603,0.13476572930812836,0.7466542720794678
amc23:6bc26377a24cf0a1b625373d8ea738bd6ec8432a2b11e88a33c19012d7fd0129,amc23,Privilege-SD 64,16,0.04716859012842178,0.09067279100418091,0.11183544248342514,1.2333958148956299
amc23:6bc26377a24cf0a1b625373d8ea738bd6ec8432a2b11e88a33c19012d7fd0129,amc23,TRSD 64,16,0.06012194603681564,0.09067279100418091,0.09876980632543564,1.0892993211746216
amc23:bc3ba284e49260cf117c0de67d0e8298b140d1b0c85998e84a01813dd192d43a,amc23,Privilege-SD 64,16,0.03177801892161369,0.14784063398838043,0.1824554055929184,1.2341357469558716
amc23:bc3ba284e49260cf117c0de67d0e8298b140d1b0c85998e84a01813dd192d43a,amc23,TRSD 64,16,0.037411268800497055,0.14784063398838043,0.1515663117170334,1.025200605392456
amc23:c44d27282e47a9f05c02254b9072913d8f6bb1fb4775890ed8a107143a2ad64a,amc23,Privilege-SD 64,16,0.09709443151950836,0.25509464740753174,0.21145716309547424,0.8289361000061035
amc23:c44d27282e47a9f05c02254b9072913d8f6bb1fb4775890ed8a107143a2ad64a,amc23,TRSD 64,16,0.11655318737030029,0.25509464740753174,0.11238428205251694,0.44055914878845215
aime24:d7c47fba84b4bcd1b0fac5a069b1924a7827f3b015be620b42ae4c4e729d33b3,aime24,Privilege-SD 64,16,0.027523621916770935,0.23554342985153198,0.18083971738815308,0.7677553296089172
aime24:d7c47fba84b4bcd1b0fac5a069b1924a7827f3b015be620b42ae4c4e729d33b3,aime24,TRSD 64,16,0.03860479220747948,0.23554342985153198,0.1118423342704773,0.4748268127441406
